_id,word,shortcut,locale
233,青蛙的王子殿下,qingwadiwangzidianxia,zh-CN
234,悬壶子,xuanhuzi,zh-CN
235,动漫,dongman,zh-CN
236,草摩泼春,caomopochun,zh-CN
237,五封结界,wufengjiejie,zh-CN
238,战争仲裁者,zhanzhengzhongcaizhe,zh-CN
239,火风绀,huofenggan,zh-CN
240,赛托希梅亚,saituoximeiya,zh-CN
241,无道绫那,wudaolingna,zh-CN
242,无道绫那,wudaolingne,zh-CN
243,无道绫那,wudaolingnei,zh-CN
244,阿阿奇与西西帕克,aaqiyuxixipake,zh-CN
245,阿阿奇与西西帕克,aajiyuxixipake,zh-CN
246,闪电十一人剧场版,shandianshiyirenjuchangban,zh-CN
247,铁马少年,tiemashaonian,zh-CN
248,反冲,fanchong,zh-CN
249,卢贝特的奇石,lubeitedeqishi,zh-CN
250,卢贝特的奇石,lubeitediqishi,zh-CN
251,公主小姐,gongzhuxiaojie,zh-CN
252,笠仓那海,licangnahai,zh-CN
253,李白龙,libailong,zh-CN
254,六王枪,liuwangqiang,zh-CN
255,六王枪,luwangqiang,zh-CN
256,二人是少女福尔摩斯,errenshishaonvfuermosi,zh-CN
257,大主宰,dazhuzai,zh-CN
258,大主宰,daizhuzai,zh-CN
259,大主宰,taizhuzai,zh-CN
260,单镜头动画,danjingtoudonghua,zh-CN
261,女孩子们的登山物语,nvhaizimendedengshanwuyu,zh-CN
262,超级大坏蛋,chaojidahuaidan,zh-CN
263,蹴球少女,cuqiushaonv,zh-CN
264,超时空骑团南十字星,chaoshikongqituannanshizixing,zh-CN
265,超时空骑团南十字星,chaoshikongjituannanshizixing,zh-CN
266,桐山零,tongshanling,zh-CN
267,贞好,zhenhao,zh-CN
268,知音漫客,zhiyinmanke,zh-CN
269,化野,huaye,zh-CN
270,降谷千纮,jiangguqianhong,zh-CN
271,降谷千纮,xiangguqianhong,zh-CN
272,降谷千纮,jiangyuqianhong,zh-CN
273,降谷千纮,xiangyuqianhong,zh-CN
274,加贺见栖,jiahejianqi,zh-CN
275,加贺见栖,jiahejianxi,zh-CN
276,加贺见栖,jiahexianqi,zh-CN
277,加贺见栖,jiahexianxi,zh-CN
278,恐蜂兽,kongfengshou,zh-CN
279,小小雪精灵糖糖,xiaoxiaoxuejinglingtangtang,zh-CN
280,绝对无敌,jueduiwudi,zh-CN
281,二星龙,erxinglong,zh-CN
282,河田美纪男,hetianmeijinan,zh-CN
283,随行者,suixingzhe,zh-CN
284,夜晚和白天,yewanhebaitian,zh-CN
